feature_id,osm_id,osm_name,osm_ref,osm_fclass,entity_key,total_length_km,status,risk_level,current_high_cell_count,current_severe_cell_count,current_exposed_cell_count,current_exposed_length_km,24h_high_cell_count,24h_severe_cell_count,24h_exposed_cell_count,24h_exposed_length_km,48h_high_cell_count,48h_severe_cell_count,48h_exposed_cell_count,48h_exposed_length_km,72h_high_cell_count,72h_severe_cell_count,72h_exposed_cell_count,72h_exposed_length_km
OSM-ROAD-1265651919,1265651919,,,service,osm:1265651919:2853,0.11,HIGH RISK,HIGH,1,0,1,0.11,1,0,1,0.11,1,0,1,0.11,1,0,1,0.11
OSM-ROAD-1263056183,1263056183,,,footway,osm:1263056183:2854,0.182,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1246724451,1246724451,,,unclassified,osm:1246724451:2855,0.398,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1251321545,1251321545,,,service,osm:1251321545:2856,0.494,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1246724452,1246724452,,,unclassified,osm:1246724452:2857,0.202,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1251264206,1251264206,,,track,osm:1251264206:2858,0.199,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565205,1258565205,,,service,osm:1258565205:2859,0.149,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565191,1258565191,,,service,osm:1258565191:2860,0.291,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1246724473,1246724473,,,path,osm:1246724473:2861,0.16,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-594575894,594575894,,,unclassified,osm:594575894:2862,4.239,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1246727018,1246727018,,,path,osm:1246727018:2863,0.235,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258568884,1258568884,,,service,osm:1258568884:2864,0.229,HIGH RISK,HIGH,1,0,1,0.229,1,0,1,0.229,1,0,1,0.229,1,0,1,0.229
OSM-ROAD-594574240,594574240,,MDR,secondary,ref:mdr,0.02,HIGH RISK,HIGH,1,0,1,0.02,1,0,1,0.02,1,0,1,0.02,1,0,1,0.02
OSM-ROAD-596065381,596065381,,,unclassified,osm:596065381:2866,0.306,HIGH RISK,HIGH,1,0,1,0.24,1,0,1,0.24,1,0,1,0.24,1,0,1,0.24
OSM-ROAD-1265651910,1265651910,,,unclassified,osm:1265651910:2867,0.029,HIGH RISK,HIGH,1,0,1,0.029,1,0,1,0.029,1,0,1,0.029,1,0,1,0.029
OSM-ROAD-1258568886,1258568886,,,path,osm:1258568886:2868,0.232,HIGH RISK,HIGH,1,0,1,0.232,1,0,1,0.232,1,0,1,0.232,1,0,1,0.232
OSM-ROAD-1256983425,1256983425,,,service,osm:1256983425:2869,0.13,HIGH RISK,HIGH,1,0,1,0.13,1,0,1,0.13,1,0,1,0.13,1,0,1,0.13
OSM-ROAD-1258568907,1258568907,,,path,osm:1258568907:2870,0.317,HIGH RISK,HIGH,1,0,1,0.092,1,0,1,0.092,1,0,1,0.092,1,0,1,0.092
OSM-ROAD-1267986420,1267986420,,,path,osm:1267986420:2871,0.069,HIGH RISK,HIGH,1,0,1,0.069,1,0,1,0.069,1,0,1,0.069,1,0,1,0.069
OSM-ROAD-1266530570,1266530570,,,service,osm:1266530570:2872,0.103,HIGH RISK,HIGH,1,0,1,0.103,1,0,1,0.103,1,0,1,0.103,1,0,1,0.103
OSM-ROAD-1227135712,1227135712,,,footway,osm:1227135712:2873,0.136,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1254292004,1254292004,,,unclassified,osm:1254292004:2874,0.555,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258568911,1258568911,,,service,osm:1258568911:2875,0.1,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565248,1258565248,,,path,osm:1258565248:2876,0.206,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565237,1258565237,,,unclassified,osm:1258565237:2877,0.084,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1263435674,1263435674,,,service,osm:1263435674:2878,0.072,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1254292003,1254292003,,,path,osm:1254292003:2879,0.066,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-594574221,594574221,,,unclassified,osm:594574221:2880,3.714,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565247,1258565247,,,path,osm:1258565247:2881,0.12,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-561913307,561913307,,,unclassified,osm:561913307:2882,0.496,HIGH RISK,HIGH,1,0,1,0.023,1,0,1,0.023,1,0,1,0.023,1,0,1,0.023
